Title,Type,DietaryPreference,PrepTimeMins,Ingredients,ProteinPerServingGrams,CarbPerServingGrams,proteinToCarbRatio,isSoggyProof,instructions,Tips,AgeGroup,AllergyTags
Paneer Corn Toast Bites,Quick Bites,Veg,10,Paneer; Sweet corn; Whole wheat bread; Apple slices; Almonds,14,26,0.54,Yes,Mix paneer & corn; Spread on bread; Toast 5 mins; Slice apple,Toast well to avoid sogginess,07-13,"Contains Dairy, Contains Nuts"
Egg Cheese Wrap,Quick Bites,Egg,10,Egg; Cheese; Roti; Corn; Orange; Pistachios,17,24,0.71,Yes,Make omelette; Add cheese; Roll; Steam corn; Peel orange,Wrap tightly,07-13,"Contains Egg, Contains Dairy, Contains Nuts"
Moong Dal Protein Chilla,Breakfast,Veg,15,Soaked moong dal; Spinach; Apple; Walnuts,18,26,0.69,Yes,Blend dal; Add spinach; Cook chilla both sides; Slice apple,Use thick batter,07-13,Contains Nuts
Masala Omelette Breakfast,Breakfast,Egg,12,Eggs; Onion; Capsicum; Whole wheat toast; Banana; Almonds,18,26,0.69,Yes,Whisk eggs; Add veggies; Cook omelette; Toast bread; Slice banana,Do not overcook,07-13,"Contains Egg, Contains Nuts"
Egg Bhurji Roll,Lunch Box,Egg,15,Eggs; Capsicum; Corn; Apple; Almonds,18,28,0.64,Yes,Scramble eggs; Fill paratha; Steam corn,Do not overcook,07-13,"Contains Egg, Contains Nuts"
Omelette Paratha Roll,Lunch Box,Egg,15,Eggs; Sweet potato; Orange; Almonds,17,30,0.57,Yes,Make omelette; Roll; Steam sweet potato,Cool before packing,07-13,"Contains Egg, Contains Nuts"
Masala Boiled Egg Box,Lunch Box,Egg,15,Boiled eggs; Broccoli; Apple; Cashews,18,12,1.50,Yes,Boil eggs; Steam broccoli,Pack whole eggs,07-13,"Contains Egg, Contains Nuts"
Egg Veg Wrap,Lunch Box,Egg,15,Eggs; Carrot; Corn; Kiwi; Walnuts,19,26,0.73,Yes,Scramble egg; Fill wrap; Steam carrot,Wrap tightly,07-13,"Contains Egg, Contains Nuts"
Cheese Veg Quesadilla,Quick Bites,Veg,10,Whole wheat tortilla; Cheese; Capsicum; Carrot; Orange; Almonds,16,28,0.57,Yes,Add cheese & veg; Toast both sides; Peel orange,Cook till crisp,07-13,"Contains Dairy, Contains Nuts"
Chicken Mayo Sandwich,Quick Bites,Non-Veg,10,Boiled shredded chicken; Whole wheat bread; Carrot sticks; Apple; Almonds,18,30,0.60,Yes,Mix chicken lightly; Spread; Assemble sandwich; Cut apple,Use very little mayo,07-13,"Contains NonVeg, Contains Nuts"
Chicken Cheese Toast,Quick Bites,Non-Veg,10,Chicken slices; Cheese; Bread; Steamed peas; Apple; Almonds,19,27,0.70,Yes,Layer chicken & cheese; Toast; Steam peas; Cut apple,Toast till crisp,07-13,"Contains NonVeg, Contains Dairy, Contains Nuts"
Paneer Spinach Tikki Box,Lunch Box,Veg,15,Paneer; Spinach; Besan; Corn; Carrot; Apple; Almonds,18,30,0.60,Yes,Mix paneer & spinach; Shape tikkis; Shallow cook; Steam corn & carrot; Cut apple,Cool before packing; Fruits separate,07-13,"Contains Dairy, Contains Nuts"
Sprouts Paneer Roll,Lunch Box,Veg,15,Sprouts; Paneer; Sweet potato; Orange; Walnuts,17,34,0.50,Yes,Saute sprouts; Add paneer; Fill paratha; Steam sweet potato,Do not overfill roll,07-13,"Contains Dairy, Contains Nuts"
Chole Wrap Box,Lunch Box,Veg,18,Boiled chole; Corn; Papaya; Cashews,18,36,0.50,Yes,Dry cook chole; Fill wrap; Steam corn,Keep chole dry,07-13,Contains Nuts
Chicken Paratha Roll,Lunch Box,Non-Veg,20,Chicken filling; Beans; Grapes; Cashews,23,35,0.66,Yes,Cook chicken; Fill paratha; Steam beans,Wrap tightly,07-13,"Contains NonVeg, Contains Nuts"
Egg Paneer Tikki,Lunch Box,Egg,18,Egg; Paneer; Carrot; Papaya; Pistachios,19,22,0.86,Yes,Mix; Shape; Pan cook; Steam carrot,Low flame,07-13,"Contains Egg, Contains Dairy, Contains Nuts"
Egg Fried Rice Mild,Lunch Box,Egg,20,Eggs; Rice; Beans; Apple; Raisins,21,38,0.55,Yes,Scramble egg; Mix rice; Steam beans,Semi-dry,07-13,Contains Egg
Greek Yogurt Nut Bowl,Breakfast,Veg,10,Greek yogurt; Banana; Pomegranate; Pumpkin seeds; Almonds,17,22,0.77,Yes,Add yogurt to bowl; Top fruits; Add seeds & nuts,Add fruits just before serving,07-13,"Contains Dairy, Contains Nuts"
Sprout Chaat Dry Box,Quick Bites,Veg,10,Boiled sprouts; Corn; Pomegranate; Pistachios,15,24,0.63,Yes,Mix sprouts & corn; Add mild spices; Wash pomegranate,Keep completely dry,07-13,Contains Nuts
Boiled Egg & Nuts Box,Quick Bites,Egg,10,Boiled eggs; Cucumber; Pomegranate; Almonds,19,12,1.58,Yes,Boil eggs; Slice cucumber; Wash pomegranate,Keep eggs whole,07-13,"Contains Egg, Contains Nuts"
High Protein Paneer Bhurji Breakfast,Breakfast,Veg,15,Paneer; Capsicum; Whole wheat toast; Papaya; Almonds,20,28,0.71,Yes,Saute capsicum; Add paneer; Cook 5 mins; Toast bread; Cut papaya,Serve warm; Can pre-chop veggies,07-13,"Contains Dairy, Contains Nuts"
Sprouts Veg Poha,Breakfast,Veg,15,Poha; Boiled sprouts; Peas; Orange; Cashews,15,35,0.43,Yes,Cook poha; Add sprouts & peas; Peel orange,Keep semi-dry,08-13,Contains Nuts
Chicken Omelette Toast,Breakfast,Non-Veg,15,Egg; Shredded chicken; Whole wheat bread; Apple; Almonds,25,28,0.89,Yes,Mix egg & chicken; Cook omelette; Toast bread; Cut apple,Cook on medium flame,08-13,"Contains Egg, Contains NonVeg, Contains Nuts"
Boiled Egg & Avocado Toast,Breakfast,Egg,10,Boiled eggs; Whole wheat toast; Avocado; Grapes; Cashews,20,24,0.83,Yes,Slice egg; Spread avocado; Place egg on toast; Wash grapes,Assemble fresh,08-13,"Contains Egg, Contains Nuts"
Egg Paneer Breakfast Wrap,Breakfast,Egg,15,Egg; Paneer; Roti; Papaya; Pistachios,24,28,0.86,Yes,Scramble egg & paneer; Fill roti; Cut papaya,Wrap tightly,08-13,"Contains Egg, Contains Dairy, Contains Nuts"
Chicken Tikka Roll,Lunch Box,Non-Veg,20,Chicken; Carrot; Broccoli; Apple; Almonds,22,30,0.73,Yes,Marinate; Grill; Fill roti; Steam veggies,Avoid heavy sauce,08-13,"Contains NonVeg, Contains Nuts"
Fish Cutlet Box,Lunch Box,Non-Veg,20,Fish; Sweet potato; Apple; Walnuts,23,25,0.92,Yes,Boil fish; Shape cutlets; Pan cook; Steam sweet potato,Add lemon,08-13,"Contains NonVeg, Contains Nuts"
Chicken Keema Wrap,Lunch Box,Non-Veg,20,Chicken keema; Peas; Grapes; Raisins,24,32,0.75,Yes,Cook keema; Fill wrap; Steam peas,Low oil,08-13,Contains NonVeg
Chicken Pulao Box,Lunch Box,Non-Veg,20,Chicken; Rice; Broccoli; Pomegranate; Pistachios,26,40,0.65,Yes,Cook pulao; Steam broccoli,Dry texture,08-13,"Contains NonVeg, Contains Nuts"
Egg Muffins Box,Lunch Box,Egg,18,Eggs; Peas; Grapes; Pumpkin seeds,22,18,1.22,Yes,Mix egg; Bake muffins; Steam peas,Do not overbake,08-13,Contains Egg
Egg Paneer Bhurji Box,Lunch Box,Egg,18,Egg; Paneer; Peas; Papaya; Almonds,21,20,1.05,Yes,Cook bhurji; Steam peas,Semi-dry texture,08-13,"Contains Egg, Contains Dairy, Contains Nuts"
Chicken Sausage Roll,Quick Bites,Non-Veg,10,Chicken sausage; Whole wheat roti; Corn; Grapes; Cashews,20,25,0.80,Yes,Pan cook sausage; Roll in roti; Steam corn,Avoid overcooking,08-13,"Contains NonVeg, Contains Nuts"
Boiled Chicken Protein Box,Quick Bites,Non-Veg,10,Boiled chicken cubes; Carrot; Grapes; Walnuts,24,10,2.40,Yes,Boil chicken night before; Steam carrot; Wash grapes,Cool fully before packing,08-13,"Contains NonVeg, Contains Nuts"
Chicken Stuffed Paratha,Breakfast,Non-Veg,20,Chicken filling; Whole wheat atta; Papaya; Cashews,24,40,0.60,Yes,Prepare stuffing; Roll paratha; Cook both sides; Cut papaya,Use dry stuffing,08-13,"Contains NonVeg, Contains Nuts"
Chicken Protein Upma,Breakfast,Non-Veg,18,Suji; Chicken pieces; Peas; Apple; Walnuts,23,38,0.61,Yes,Cook upma; Add chicken; Steam peas; Slice apple,Keep texture dry,08-13,"Contains NonVeg, Contains Nuts"
Egg Oats Protein Bowl,Breakfast,Egg,15,Oats; Egg whites; Apple; Pumpkin seeds,22,32,0.69,Yes,Cook oats; Stir egg whites till set; Top apple & seeds,Stir continuously,08-13,Contains Egg
Soya Veg Cutlet Box,Lunch Box,Veg,18,Soya granules; Beans; Carrot; Grapes; Pistachios,20,28,0.71,Yes,Boil soya; Mix veggies; Shape cutlets; Pan cook; Steam beans,Squeeze excess water,08-13,"Contains Nuts, Contains Soy"
Tofu Veg Bhurji Roll,Lunch Box,Veg,15,Tofu; Capsicum; Peas; Kiwi; Pumpkin seeds,19,27,0.70,Yes,Crumble tofu; Saute; Fill roll; Steam peas,Keep semi-dry,08-13,Contains Soy
Quinoa Veg Upma Box,Lunch Box,Veg,20,Quinoa; Broccoli; Grapes; Sunflower seeds,15,38,0.39,Yes,Cook quinoa; Add veggies; Steam broccoli,Dry texture,08-13,Nut Free Option Possible
Grilled Chicken Cubes,Lunch Box,Non-Veg,18,Chicken breast; Corn; Papaya; Pistachios,25,20,1.25,Yes,Grill cubes; Steam corn,Cool before sealing,08-13,"Contains NonVeg, Contains Nuts"
Egg Chicken Fried Rice,Lunch Box,Non-Veg,20,Egg; Chicken; Rice; Broccoli; Orange; Almonds,28,42,0.67,Yes,Cook chicken; Scramble egg; Mix rice; Steam broccoli,Keep semi-dry,08-13,"Contains Egg, Contains NonVeg, Contains Nuts"
Grilled Fish Cubes,Lunch Box,Non-Veg,18,Fish; Carrot; Apple; Cashews,24,18,1.33,Yes,Grill fish; Steam carrot,Foil layer,08-13,"Contains NonVeg, Contains Nuts"
Chicken Paneer Skewers,Lunch Box,Non-Veg,20,Chicken; Paneer; Corn; Kiwi; Pumpkin seeds,26,22,1.18,Yes,Skewer & grill; Steam corn,Cool before packing,08-13,"Contains NonVeg, Contains Dairy"
Tuna Corn Mix Box,Quick Bites,Non-Veg,10,Canned tuna (drained); Corn; Cucumber; Orange; Pistachios,22,18,1.22,Yes,Mix tuna & corn; Slice cucumber; Peel orange,Drain tuna fully,08-13,"Contains NonVeg, Contains Nuts"
Grilled Chicken Breakfast Bowl,Breakfast,Non-Veg,15,Grilled chicken; Sweet potato; Grapes; Pistachios,28,24,1.17,Yes,Grill chicken; Steam sweet potato; Wash grapes,Cool slightly before serving,08-13,"Contains NonVeg, Contains Nuts"
Tuna Egg Scramble,Breakfast,Non-Veg,12,Eggs; Tuna; Spinach; Orange; Almonds,27,14,1.93,Yes,Scramble eggs; Add tuna & spinach; Peel orange,Drain tuna fully,08-13,"Contains Egg, Contains NonVeg, Contains Nuts"
Millet Idli Box,Lunch Box,Veg,20,Ragi idli; Beans; Banana; Almonds,12,40,0.30,Yes,Steam idli; Steam beans; Slice banana,Apply little ghee,08-13,Contains Nuts
Peanut Butter Banana Roll,Quick Bites,Veg,8,Whole wheat roti; Peanut butter; Banana; Steamed peas; Cashews,13,30,0.43,Yes,Spread peanut butter; Add banana; Roll & slice; Steam peas,Use thick peanut butter layer,08-13,Contains Nuts
Scrambled Egg Toast,Quick Bites,Egg,8,Eggs; Whole wheat bread; Carrot sticks; Apple; Almonds,16,26,0.62,Yes,Scramble eggs; Toast bread; Slice apple,Cook egg soft,08-13,"Contains Egg, Contains Nuts"
Scrambled Egg Toast Fingers,Lunch Box,Egg,12,Eggs; Whole wheat bread; Zucchini; Banana; Pistachios,16,32,0.50,Yes,Scramble egg; Toast bread; Steam zucchini,Pack banana separately,08-13,"Contains Egg, Contains Nuts"
